2025-11-01 01:56:10.947 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] ERROR io.javalin.Javalin - Failed to start Javalin
2025-11-01 01:56:10.947 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  io.javalin.Javalin - Stopping Javalin ...
2025-11-01 01:56:10.947 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  org.eclipse.jetty.server.Server - Stopped Server@1c9bf8a9{STOPPING}[11.0.17,sto=0]
2025-11-01 01:56:10.947 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  io.javalin.Javalin - Javalin has stopped
2025-11-01 20:53:07.556 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - === Multi-App Scheduler with Web UI ===
2025-11-01 20:53:07.627 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using slf4j logging.
2025-11-01 20:53:07.827 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.4 [built 23-March-2019 23:00:48 -0700; debug? true; trace: 10]
2025-11-01 20:53:08.073 [main] INFO  c.t.scheduler.QuartzTableManager - Checking Quartz tables...
2025-11-01 20:53:08.104 [main] INFO  c.t.scheduler.QuartzTableManager - All Quartz tables exist
2025-11-01 20:53:08.111 [main] INFO  c.t.s.MultiAppSchedulerManager - Quartz tables initialized
2025-11-01 20:53:08.119 [main] INFO  c.t.s.MultiAppSchedulerManager - MultiAppSchedulerManager initialized with shared Quartz scheduler
2025-11-01 20:53:08.207 [main] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'sms_job_execution_history' ensured to exist for app 'sms'
2025-11-01 20:53:08.208 [main] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'sms' with table prefix 'sms_scheduled_jobs' and history table 'sms_job_execution_history'
2025-11-01 20:53:08.208 [main] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'sms': SmsJobHandler
2025-11-01 20:53:08.209 [main] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'sms' with handler SmsJobHandler
2025-11-01 20:53:08.209 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered SMS application → Console output: sms-notifications
2025-11-01 20:53:08.231 [main] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'sipcall_job_execution_history' ensured to exist for app 'sipcall'
2025-11-01 20:53:08.231 [main] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'sipcall' with table prefix 'sipcall_scheduled_jobs' and history table 'sipcall_job_execution_history'
2025-11-01 20:53:08.231 [main] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'sipcall': SipCallJobHandler
2025-11-01 20:53:08.231 [main] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'sipcall' with handler SipCallJobHandler
2025-11-01 20:53:08.231 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered SIPCall application → Console output: sipcall-queue
2025-11-01 20:53:08.256 [main] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'payment_gateway_job_execution_history' ensured to exist for app 'payment_gateway'
2025-11-01 20:53:08.256 [main] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'payment_gateway' with table prefix 'payment_gateway_scheduled_jobs' and history table 'payment_gateway_job_execution_history'
2025-11-01 20:53:08.256 [main] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'payment_gateway': PaymentGatewayJobHandler
2025-11-01 20:53:08.256 [main] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'payment_gateway' with handler PaymentGatewayJobHandler
2025-11-01 20:53:08.256 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered Payment Gateway application → Console output: payment-transactions
2025-11-01 20:53:08.333 [main] INFO  io.javalin.Javalin - Starting Javalin ...
2025-11-01 20:53:08.427 [main] INFO  org.eclipse.jetty.server.Server - jetty-11.0.17; built: 2023-10-09T18:39:14.424Z; git: 48e7716b9462bebea6732b885dbebb4300787a5c; jvm 21.0.5+11-LTS
2025-11-01 20:53:08.439 [main] ERROR io.javalin.Javalin - Failed to start Javalin
2025-11-01 20:53:08.440 [main] INFO  io.javalin.Javalin - Stopping Javalin ...
2025-11-01 20:53:08.440 [main] INFO  org.eclipse.jetty.server.Server - Stopped Server@16a9a4f1{STOPPING}[11.0.17,sto=0]
2025-11-01 20:53:08.440 [main] INFO  io.javalin.Javalin - Javalin has stopped
2025-11-01 20:53:48.502 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - === Multi-App Scheduler with Web UI ===
2025-11-01 20:53:48.558 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using slf4j logging.
2025-11-01 20:53:48.696 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.4 [built 23-March-2019 23:00:48 -0700; debug? true; trace: 10]
2025-11-01 20:53:48.907 [main] INFO  c.t.scheduler.QuartzTableManager - Checking Quartz tables...
2025-11-01 20:53:48.934 [main] INFO  c.t.scheduler.QuartzTableManager - All Quartz tables exist
2025-11-01 20:53:48.949 [main] INFO  c.t.s.MultiAppSchedulerManager - Quartz tables initialized
2025-11-01 20:53:48.959 [main] INFO  c.t.s.MultiAppSchedulerManager - MultiAppSchedulerManager initialized with shared Quartz scheduler
2025-11-01 20:53:49.065 [main] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'sms_job_execution_history' ensured to exist for app 'sms'
2025-11-01 20:53:49.066 [main] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'sms' with table prefix 'sms_scheduled_jobs' and history table 'sms_job_execution_history'
2025-11-01 20:53:49.067 [main] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'sms': SmsJobHandler
2025-11-01 20:53:49.067 [main] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'sms' with handler SmsJobHandler
2025-11-01 20:53:49.067 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered SMS application → Console output: sms-notifications
2025-11-01 20:53:49.102 [main] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'sipcall_job_execution_history' ensured to exist for app 'sipcall'
2025-11-01 20:53:49.103 [main] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'sipcall' with table prefix 'sipcall_scheduled_jobs' and history table 'sipcall_job_execution_history'
2025-11-01 20:53:49.103 [main] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'sipcall': SipCallJobHandler
2025-11-01 20:53:49.103 [main] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'sipcall' with handler SipCallJobHandler
2025-11-01 20:53:49.103 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered SIPCall application → Console output: sipcall-queue
2025-11-01 20:53:49.148 [main] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'payment_gateway_job_execution_history' ensured to exist for app 'payment_gateway'
2025-11-01 20:53:49.148 [main] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'payment_gateway' with table prefix 'payment_gateway_scheduled_jobs' and history table 'payment_gateway_job_execution_history'
2025-11-01 20:53:49.149 [main] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'payment_gateway': PaymentGatewayJobHandler
2025-11-01 20:53:49.149 [main] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'payment_gateway' with handler PaymentGatewayJobHandler
2025-11-01 20:53:49.149 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered Payment Gateway application → Console output: payment-transactions
2025-11-01 20:53:49.251 [main] INFO  io.javalin.Javalin - Starting Javalin ...
2025-11-01 20:53:49.328 [main] INFO  org.eclipse.jetty.server.Server - jetty-11.0.17; built: 2023-10-09T18:39:14.424Z; git: 48e7716b9462bebea6732b885dbebb4300787a5c; jvm 21.0.5+11-LTS
2025-11-01 20:53:49.338 [main] ERROR io.javalin.Javalin - Failed to start Javalin
2025-11-01 20:53:49.338 [main] INFO  io.javalin.Javalin - Stopping Javalin ...
2025-11-01 20:53:49.339 [main] INFO  org.eclipse.jetty.server.Server - Stopped Server@16a9a4f1{STOPPING}[11.0.17,sto=0]
2025-11-01 20:53:49.339 [main] INFO  io.javalin.Javalin - Javalin has stopped
2025-11-01 20:54:54.265 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - === Multi-App Scheduler with Web UI ===
2025-11-01 20:54:54.323 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using slf4j logging.
2025-11-01 20:54:54.494 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.4 [built 23-March-2019 23:00:48 -0700; debug? true; trace: 10]
2025-11-01 20:54:54.725 [main] INFO  c.t.scheduler.QuartzTableManager - Checking Quartz tables...
2025-11-01 20:54:54.749 [main] INFO  c.t.scheduler.QuartzTableManager - All Quartz tables exist
2025-11-01 20:54:54.758 [main] INFO  c.t.s.MultiAppSchedulerManager - Quartz tables initialized
2025-11-01 20:54:54.766 [main] INFO  c.t.s.MultiAppSchedulerManager - MultiAppSchedulerManager initialized with shared Quartz scheduler
2025-11-01 20:54:54.896 [main] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'sms_job_execution_history' ensured to exist for app 'sms'
2025-11-01 20:54:54.897 [main] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'sms' with table prefix 'sms_scheduled_jobs' and history table 'sms_job_execution_history'
2025-11-01 20:54:54.898 [main] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'sms': SmsJobHandler
2025-11-01 20:54:54.898 [main] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'sms' with handler SmsJobHandler
2025-11-01 20:54:54.898 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered SMS application → Console output: sms-notifications
2025-11-01 20:54:54.943 [main] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'sipcall_job_execution_history' ensured to exist for app 'sipcall'
2025-11-01 20:54:54.943 [main] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'sipcall' with table prefix 'sipcall_scheduled_jobs' and history table 'sipcall_job_execution_history'
2025-11-01 20:54:54.943 [main] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'sipcall': SipCallJobHandler
2025-11-01 20:54:54.943 [main] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'sipcall' with handler SipCallJobHandler
2025-11-01 20:54:54.943 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered SIPCall application → Console output: sipcall-queue
2025-11-01 20:54:54.978 [main] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'payment_gateway_job_execution_history' ensured to exist for app 'payment_gateway'
2025-11-01 20:54:54.978 [main] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'payment_gateway' with table prefix 'payment_gateway_scheduled_jobs' and history table 'payment_gateway_job_execution_history'
2025-11-01 20:54:54.978 [main] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'payment_gateway': PaymentGatewayJobHandler
2025-11-01 20:54:54.978 [main] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'payment_gateway' with handler PaymentGatewayJobHandler
2025-11-01 20:54:54.978 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered Payment Gateway application → Console output: payment-transactions
2025-11-01 20:54:55.067 [main] INFO  io.javalin.Javalin - Starting Javalin ...
2025-11-01 20:54:55.151 [main] INFO  org.eclipse.jetty.server.Server - jetty-11.0.17; built: 2023-10-09T18:39:14.424Z; git: 48e7716b9462bebea6732b885dbebb4300787a5c; jvm 21.0.5+11-LTS
2025-11-01 20:54:55.163 [main] ERROR io.javalin.Javalin - Failed to start Javalin
2025-11-01 20:54:55.163 [main] INFO  io.javalin.Javalin - Stopping Javalin ...
2025-11-01 20:54:55.163 [main] INFO  org.eclipse.jetty.server.Server - Stopped Server@16a9a4f1{STOPPING}[11.0.17,sto=0]
2025-11-01 20:54:55.163 [main] INFO  io.javalin.Javalin - Javalin has stopped
2025-11-01 20:55:37.507 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - === Multi-App Scheduler with Web UI ===
